CHANNELAREAIDFK,CONTRACTIDFK,DREDGECOST,DREDGINGEVENTAREAIDFK,DREDGINGEVENTIDPK,DREDGINGPURPOSE,EVENTDEPTH,EVENTDEPTHUOM,EVENTTYPE,EXECYEAR,FEATUREDESCRIPTION,FEATURENAME,MEDIAID,METADATAID,PLACEMENTAREADESC,PLACEMENTAREAIDFK,RPSUID,RPUID,SDSID,UNITCOST,VOLUMEDREDGED,RIVER,POOL,DREDGE_TYPE,LABOR_TYPE,DATE_START,DATE_END,UP_RIV_MIL,DN_RIV_MIL,VOLUME_UNITS,REACH_NAME,PREHYDROSURVEY_ID,POSTHYDROSURVEY_ID,REHANDLE_ID,DREDGE_NAME,COST,NARRATIVE,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE
,,,99996,1.82008E+14,channel,-11,foot,dredged,2008,"split placement, event total volume 9,406 cyds",FURNAL ISLAND,,2008090241354137,,UM_4135_R,,,,,4703.000000000000000,Mississippi_River,18,Mechanical,Hired_Labor,9/3/2008 0:00,9/18/2008 0:00,413.699999999999989,413.500000000000000,cubicYard,FERNAL ISLAND,UM_18_MVR_20080728_BD_41334153_08B,UM_18_MVR_20081009_BD_41304140_08C,,BARGE 767,0,PLACEMENT BEHIND LEVEE  413.1R Oquawka DMMP site 3A,B5ODT9MA,8/9/2023 17:51,B5ODTDJM,6/21/2024 16:39
,,,99967,1.12012E+14,channel,-11,foot,dredged,2012,"split placement, event total volume 35,577 cyds",FINLEYS ROSEBROOK,,2012072259475956,,UM_5988_L,,,,,17789.000000000000000,Mississippi_River,11,Mechanical,Hired_Labor,7/23/2012 0:00,10/13/2012 0:00,595.600000000000023,594.700000000000045,cubicYard,FINLEYS LANDING,UM_11_MVR_20120703_CS_59455961_12C,UM_11_MVR_20121024_AD_59475956_12F,,BARGE 766,,"596.0R, 598.8-599.0L Beach ",B5ODTDJM,2/13/2023 23:34,B5ODTDJM,6/17/2024 21:12
,,,99987,SR1999124422445,channel,-11,foot,dredged,1999,,MARSEILLES LOWER,,1999041924422445,,IL_2450_R,,,,,5263,Illinois_Waterway,SR,Mechanical,Hired_Labor,4/19/1999 0:00,7/20/1999 0:00,244.5,244.2,cubicYard,MARSEILLES LOCK LOWER,IL_SR_MVR_19990413_CS_24412445_99A,,,MAZON,,BELLS ISLAND SITE UPLAND PLACEMENT 245.0-245.1R,B5ODTJLM@MVD,9/18/2023 22:41,B5ODTDJM,6/12/2025 18:27
,,,99726,SR2001224042411,channel,-11,foot,dredged,2001,"split placement, event total volume 17,455 cyds",BULLS ISLAND,,2001081324042411,,IL_2407_R,,,,,14531,Illinois_Waterway,SR,Mechanical,Hired_Labor,8/13/2001 0:00,8/19/2001 0:00,241.1,240.4,cubicYard,BULLS ISLAND,IL_SR_MVR_20010515_BD_24002417_01A,IL_SR_MVR_20010828_AD_24032411_01C,,CLARIA ANDRIE,,LOWER BULLS ISLAND BANKLINE PLACEMENT 240.4-241.0R,B5ODTJLM@MVD,10/4/2023 19:33,B5ODTDJM,7/10/2024 15:59
,,,99862,1.91999E+14,clearing,-11,foot,dredged,1999,,YELLOW SPRINGS,,1999042141024104,,UM_4111_L,,,,,22169,Mississippi_River,19,Mechanical,Hired_Labor,4/21/1999 0:00,6/21/1999 0:00,410.4,410.2,cubicYard,LOCK 18 LOWER,UM_19_MVR_19990420_BD_41054105_99A,,,DERRICK BOAT 766,,OQUAWKA STATE WILDLIFE REFUGE BANKLINE PLACEMENT 411.2L,B5ODTJLM,3/29/2023 17:22,B5ODTDJM,6/12/2025 18:27
,,,99777,LA2010213631369,channel,-11,foot,dredged,2010,"split placement, event total volume 64,698 cyds",COPPERAS CREEK,,2010100613631369,,IL_1361_L,,,,,53899,Illinois_Waterway,LA,Hydraulic,Commercial,10/7/2010 0:00,10/19/2010 0:00,136.9,136.3,cubicYard,COPPERAS CREEK,IL_LA_MVR_20100927_CS_13531369_10B,IL_LA_MVR_20101109_AD_13631378_10E,,BUXTON II,,136.0L Copperas Creek Upland DMMP site,B5ODT9MA,3/23/2023 14:27,B5ODTDJM,6/21/2024 17:21
,,,99724,SR1999124472447,mooring,-11,foot,dredged,1999,,MARSEILLES UPPER SLIP,,1999062824472447,,IL_2450_R,,,,,1024,Illinois_Waterway,SR,Mechanical,Hired_Labor,6/28/1999 0:00,6/30/1999 0:00,244.7,244.7,cubicYard,MARSEILLES CANAL,,,,MAZON,,BELLS ISLAND SITE UPLAND PLACEMENT 245.0-245.1R,B5ODTJLM@MVD,9/18/2023 22:41,B5ODTDJM,6/12/2025 18:27
,,,99818,2.21999E+14,channel,-11,foot,dredged,1999,,NE MO POWER,,1999081832003203,,UM_3204_R,,,,,17478,Mississippi_River,22,Hydraulic,Hired_Labor,8/18/1999 0:00,8/21/1999 0:00,320.3,320,cubicYard,NE MISSOURI POWER,UM_22_MVR_19990805_CS_31903203_99B,,,WM. A. THOMPSON,,NE MO POWER UPLAND PLACEMENT 320.4R,B5ODTJLM,3/29/2023 17:22,B5ODTDJM,6/12/2025 18:27
,,,99968,1.12007E+14,channel,-11,foot,dredged,2007,"split placement, event total volume 9,642 cyds",FINLEYS 1,,2007070959655967,,UM_5988_L,,,,,4061,Mississippi_River,11,Mechanical,Hired_Labor,7/10/2007 0:00,9/19/2007 0:00,596.7,596.5,cubicYard,CAMERON LIGHT,UM_11_MVR_20070626_BD_59585969_07C,UM_11_MVR_20071001_CS_59655980_07C,<Null>,BARGE 766,,PLACEMENT BEACH 599.0L,B5ODT9MA,8/18/2023 16:51,B5ODTJLM@MVD,9/25/2023 16:59
,,,99968,1.12007E+14,channel,-11,foot,dredged,2007,"split placement, event total volume 9,642 cyds",FINLEYS 1,,2007070959655967,,UM_6104_L,,,,,5581,Mississippi_River,11,Mechanical,Hired_Labor,7/10/2007 0:00,9/19/2007 0:00,596.7,596.5,cubicYard,CAMERON LIGHT,UM_11_MVR_20070626_BD_59585969_07C,UM_11_MVR_20071001_CS_59655980_07C,<Null>,BARGE 766,,PLACEMENT BANKLINE 610.3-610.4L,B5ODT9MA,8/18/2023 16:51,B5ODTJLM@MVD,9/25/2023 16:59
,,,99893,1.62007E+14,channel,-11,foot,dredged,2007,"split placement, event total volume 26,435 cyds",LINWOOD,,2007071347514758,,UM_4726_R,,,,,13217,Mississippi_River,16,Mechanical,Hired_Labor,7/14/2007 0:00,8/15/2007 0:00,475.8,475.1,cubicYard,LINWOOD,UM_16_MVR_20070712_BD_47504759_07B,UM_16_MVR_20070821_BD_47494760_07C,<Null>,BARGE 767,,"BANKLINE BUFFALO 472.5 - 473.1 R
",B5ODT9MA,8/18/2023 16:51,B5ODTJLM@MVD,9/25/2023 16:59
,,,99893,1.62007E+14,channel,-11,foot,dredged,2007,"split placement, event total volume 26,435 cyds",LINWOOD,,2007071347514758,,UM_4731_L,,,,,13218,Mississippi_River,16,Mechanical,Hired_Labor,7/14/2007 0:00,8/15/2007 0:00,475.8,475.1,cubicYard,LINWOOD,UM_16_MVR_20070712_BD_47504759_07B,UM_16_MVR_20070821_BD_47494760_07C,<Null>,BARGE 767,,POCKET BEACHES 472.5 - 473.1L,B5ODT9MA,8/18/2023 16:51,B5ODTJLM@MVD,9/25/2023 16:59
,,,99967,1.12012E+14,channel,-11,foot,dredged,2012,"split placement, event total volume 35,577 cyds",FINLEYS ROSEBROOK,,2012072259475956,,UM_5959_R,,,,,17788,Mississippi_River,11,Mechanical,Hired_Labor,7/23/2012 0:00,10/13/2012 0:00,595.6,594.7,cubicYard,FINLEYS LANDING,UM_11_MVR_20120703_CS_59455961_12C,UM_11_MVR_20121024_AD_59475956_12F,,BARGE 766,,"596.0R, 598.8-599.0L Beach ",B5ODTDJM,2/13/2023 23:34,B5ODTDJM,6/17/2024 21:12
,,,99823,2.12008E+14,channel,-12,foot,dredged,2008,"split placement, event total volume 87,673 cyds",HOGBACK,,2008082933093314,,UM_3318_L,,,,,42539,Mississippi_River,21,Hydraulic,Hired_Labor,8/30/2008 0:00,9/11/2008 0:00,331.4,330.9,cubicYard,HOGBACK,UM_21_MVR_20080826_BD_33053320_08B,UM_21_MVR_20080917_BD_33093313_08C,,GOETZ,0,PLACEMENT 331.4L beach,B5ODT9MA,8/9/2023 17:51,B5ODTDJM,6/21/2024 16:50
,,,99771,LA2010214561469,channel,-11,foot,dredged,2010,"split placement, event total volume 79,346 cyds",KINGSTON MINES,,2010102314561469,,IL_1452_L,,,,,39673,Illinois_Waterway,LA,Hydraulic,Commercial,10/24/2010 0:00,11/9/2010 0:00,146.9,145.6,cubicYard,MACKINAW RIVER,IL_LA_MVR_20100929_CS_14551467_10C,IL_LA_MVR_20101116_AD_14551473_10D,,BUXTON II,,All upland placement 28851 to Kingston DMMP. 68248 to Mackinaw.DMMP site 145.4/146.3L,B5ODT9MA,3/23/2023 14:27,B5ODTDJM,6/21/2024 17:33
,,,99973,1.11958E+14,channel,,foot,dredged,1958,"Split placement, event total volume 97,623.",BUENA VISTA,,1958010160296034,,UM_6035_L,,,,,48811.5,Mississippi_River,11,Hydraulic,Hired_Labor,,,603.4,602.9,cubicYard,BUENA VISTA,,,,WM. A. THOMPSON,,603.0-603.1R 603.2-603.3R 603.4-603.7L CUT INTO 2 TOTAL VOLUME IS 97623,B5ODTDJM,10/24/2024 19:25,B5ODTDJM,10/24/2024 19:25
,,,99823,2.11999E+14,channel,-11,foot,dredged,1999,"split placement, event total volume 67,038 cyds",HOGBACK,,1999071333123318,,UM_3318_L,,,,,42201,Mississippi_River,21,Hydraulic,Hired_Labor,7/14/1999 0:00,8/9/1999 0:00,331.8,331.2,cubicYard,HOGBACK,UM_21_MVR_19990623_CS_33103324_99B,UM_21_MVR_19990921_CS_33003326_99D,,WM. A. THOMPSON,,HOGBACK ISLAND BANKLINE PLACEMENT 331.8-332.3L Part 1 of 2,B5ODTJLM,3/29/2023 17:22,B5ODTDJM,6/21/2024 16:50
,,,99911,1.42002E+14,channel,-11,foot,dredged,2002,"split placement, event total volume 24,148 cyds",STEAMBOAT,,2002090150335038,,UM_5038_R,,,,,8650,Mississippi_River,14,Hydraulic,Hired_Labor,9/2/2002 0:00,9/6/2002 0:00,503.8,503.3,cubicYard,STEAMBOAT SLOUGH,UM_14_MVR_20020801_BD_50305042_02A,UM_14_MVR_20020911_CS_50205045_02C,,WM. A. THOMPSON,,PRINCETON BEACH BANKLINE PLACEMENT 503.7-504.0R,B5ODTJLM@MVD,9/19/2023 21:26,B5ODTDJM,9/25/2023 19:25
,,,99911,1.42002E+14,channel,-11,foot,dredged,2002,"split placement, event total volume 24,148 cyds",STEAMBOAT,,2002090150335038,,UM_5030_T,,,,,15498,Mississippi_River,14,Hydraulic,Hired_Labor,9/2/2002 0:00,9/6/2002 0:00,503.8,503.3,cubicYard,STEAMBOAT SLOUGH,UM_14_MVR_20020801_BD_50305042_02A,UM_14_MVR_20020911_CS_50205045_02C,,WM. A. THOMPSON,,STEAMBOAT THALWEG PLACEMENT 502.9-503.1T,B5ODTJLM@MVD,9/19/2023 21:26,B5ODTDJM,9/25/2023 19:25
,,,99771,LA1999114641473,channel,-11,foot,dredged,1999,,MACKINAW LOWER,,1999083114641473,,IL_1470_L,,,,,39544,Illinois_Waterway,LA,Hydraulic,Hired_Labor,8/31/1999 0:00,9/28/1999 0:00,147.3,146.4,cubicYard,MACKINAW RIVER,,,,CLARA ANDRIE,,MACKINAW RIVER UPLAND PLACEMENT 146.4-146.5L,B5ODTJLM@MVD,9/18/2023 22:41,B5ODTDJM,6/12/2025 18:27
,,,99897,1.62011E+14,channel,-11,foot,dredged,2011,"event split between dredging reaches, event total volume 4,984 cyds",CENTENNIAL,,2011092948174827,,UM_4820_L,,,,,2492,Mississippi_River,16,Mechanical,Hired_Labor,9/30/2011 0:00,10/4/2011 0:00,482.7,481.7,cubicYard,CENTENNIAL AND CRESCENT BRIDGES,UM_16_MVR_20110920_CS_48154829_11B,UM_16_MVR_20111011_CS_48164820_11C,<Null>,BARGE 766,,Centennial 482.0L stockpile,B5ODTDJM,6/5/2023 18:45,B5ODTJLM@MVD,9/25/2023 16:59
,,,99898,1.62011E+14,channel,-11,foot,dredged,2011,"event split between dredging reaches, event total volume 4,984 cyds",CENTENNIAL,,2011092948174827,,UM_4820_L,,,,,2492,Mississippi_River,16,Mechanical,Hired_Labor,9/30/2011 0:00,10/4/2011 0:00,482.7,481.7,cubicYard,LOCK 15 LOWER,UM_16_MVR_20110920_CS_48154829_11B,UM_16_MVR_20111011_CS_48164820_11C,<Null>,BARGE 766,,Centennial 482.0L stockpile,B5ODTDJM,6/5/2023 18:45,B5ODTJLM@MVD,9/25/2023 16:59
,,,99826,2.12E+14,channel,-11,foot,dredged,2000,"split placement, event total volume 27,798 cyds",LAGRANGE,,2000081933603366,,UM_3364_R,,,,,19931,Mississippi_River,21,Hydraulic,Hired_Labor,8/20/2000 0:00,8/24/2000 0:00,336.6,336,cubicYard,LA GRANGE,UM_21_MVR_20000726_BD_33503370_00B,UM_21_MVR_20000829_CS_33503370_00C,,WM. A. THOMPSON,,LAGRANGE STOCKPILE PLACEMENT 336.3R PART 2 OF 2,B5ODTJLM,3/29/2023 17:22,B5ODTJLM@MVD,9/25/2023 16:59
,,,99826,2.12E+14,channel,-11,foot,dredged,2000,"split placement, event total volume 27,798 cyds",LAGRANGE,,2000081933603366,,UM_3362_R,,,,,7867,Mississippi_River,21,Hydraulic,Hired_Labor,8/20/2000 0:00,8/24/2000 0:00,336.6,336,cubicYard,LA GRANGE,UM_21_MVR_20000726_BD_33503370_00B,UM_21_MVR_20000829_CS_33503370_00C,,WM. A. THOMPSON,,LAGRANGE BEACH BANKLINE PLACEMENT 336.0-336.3R PART 1 OF 2,B5ODTJLM,3/29/2023 17:22,B5ODTJLM@MVD,9/25/2023 16:59
,,,99771,LA1999214541461,channel,-11,foot,dredged,1999,"split placement, event total volume 19,870 cyds",KINGSTON MINES,,1999092714541461,,IL_1470_L,,,,,14727,Illinois_Waterway,LA,Hydraulic,Hired_Labor,9/28/1999 0:00,10/4/1999 0:00,146.1,145.4,cubicYard,MACKINAW RIVER,,,,CLARA ANDRIE,,MACKINAW RIVER UPLAND PLACEMENT 146.3L,B5ODTJLM@MVD,9/18/2023 22:41,B5ODTDJM,7/10/2024 15:59
,,,99815,2.22008E+14,channel,-12,foot,dredged,2008,"split placement, event total volume 82,957 cyds",WHITNEY ISLAND,,2008081531293133,,UM_3125_T,,,,,60692,Mississippi_River,22,Hydraulic,Hired_Labor,8/16/2008 0:00,8/28/2008 0:00,313.3,312.9,cubicYard,WHITNEY LIGHT,UM_22_MVR_20080811_BD_31253140_08B,UM_22_MVR_20080828_BD_31293133_08D,<Null>,GOETZ,0, PLACEMENT THALWEG 312.7T,B5ODT9MA,8/9/2023 17:51,B5ODTJLM@MVD,9/25/2023 16:59
,,,99773,LA1999114241448,channel,-11,foot,dredged,1999,"split placement, event total volume 33,201 cyds",LANCASTER LANDING,,1999100314241448,,IL_1452_L,,,,,22018,Illinois_Waterway,LA,Hydraulic,Hired_Labor,10/4/1999 0:00,10/12/1999 0:00,144.8,142.4,cubicYard,LANCASTER LANDING,,IL_LA_MVR_19991102_CS_14431449_99C,,CLARA ANDRIE,,KINGSTON MINES UPLAND PLACEMENT 144.8L,B5ODTJLM@MVD,9/18/2023 22:41,B5ODTDJM,7/10/2024 15:58
,,,99823,2.12019E+14,channel,-11,foot,dredged,2019,"split placement, event total volume 18,782 cyds",HOGBACK/LONETREE,,2019081333083329,,UM_3336_R,,,,,6001,Mississippi_River,21,Mechanical,Hired_Labor,8/14/2019 0:00,9/17/2019 0:00,332.9,330.8,cubicYard,HOGBACK,UM_21_MVR_20190904_CS_33073327_19E,UM_21_MVR_20191126_CS_33073331_19F,,IWW_MAZON,,Bankline placement 331.4-332.3L; Levee Breach Site 333.6R,B5ODTDJM@MVD,5/30/2023 18:00,B5ODTDJM,6/21/2024 16:50
,,,99980,1.11961E+14,channel,,foot,dredged,1961,"Split placement, event total volume 25,629.",GOETZ ISLAND,,1961010161236125,,UM_6125_R,,,,,12814.5,Mississippi_River,11,Hydraulic,Hired_Labor,,,612.5,612.3,cubicYard,GOETZ ISLAND,,,,WM. A. THOMPSON,,612.6R 612.7L CUT INTO 2 TOTAL VOLUME IS 25629,B5ODTDJM,10/24/2024 19:25,B5ODTDJM,10/24/2024 19:25
,,,99815,2.22008E+14,channel,-12,foot, dredged,2008,"split placement, event total volume 82,957 cyds",WHITNEY ISLAND,,2008081531293133,,UM_3127_R,,,,,22265,Mississippi_River,22,Hydraulic,Hired_Labor,8/16/2008 0:00,8/28/2008 0:00,313.3,312.9,cubicYard,WHITNEY LIGHT,UM_22_MVR_20080811_BD_31253140_08B,UM_22_MVR_20080828_BD_31293133_08D,<Null>,GOETZ,0,Behind South River Levee 312.5-312.9R,B5ODT9MA,8/9/2023 17:51,B5ODTJLM@MVD,9/25/2023 16:59
,,,99731,SR2019123222326,channel,-11,foot,dredged,2019,"split placement, total event volume 15,049 cyds",Delbridge Island,,2019092023222326,,IL_2315_R,,,,,7525,Illinois_Waterway,SR,Mechanical,Hired_Labor,9/21/2019 0:00,10/25/2019 0:00,232.6,232.2,cubicYard,STARVED ROCK UPPER,IL_SR_MVR_20190916_BD_23102330_19A,IL_SR_MVR_20191118_CS_23212327_19D,,,,Starved Rock DMMP 231.4 R; Bulls Island DMMP 241.6R,B5ODTDJM,1/26/2022 14:11,B5ODTDJM,10/31/2023 18:11
