Model,Test_RMSE,Test_MAE,Dataset,River,Type
Mean,2.030291521164918,1.1600127579797206,Illinois Waterway,Illinois Waterway,NA
ARIMA,2.0308381851785984,1.1600176757261287,Illinois Waterway,Illinois Waterway,NA
Persistence,2.622332742840471,1.5742110236220472,Illinois Waterway,Illinois Waterway,NA
Mean,3.6446198050025074,1.8580090136670344,Mississippi River,Mississippi River,NA
ARIMA,3.6447368597466725,1.858503163589587,Mississippi River,Mississippi River,NA
Persistence,4.429929131529526,2.2428100120627263,Mississippi River,Mississippi River,NA
Mean,3.5283551060198803,1.8361718174235513,Combined,Combined,NA
ARIMA,3.5285132756398334,1.8360239358899269,Combined,Combined,NA
Persistence,4.367065288231376,2.266710732984293,Combined,Combined,NA
xGBoost,1.7840908594573948,1.000717559959458,Illinois Waterway,Illinois Waterway,ML
xGBoost,3.2731388022313332,1.6118230362297792,Mississippi River,Mississippi River,ML
xGBoost,3.210232069755742,1.6313100823813529,Combined,Combined,ML
LSTM,1.6496384847119672,0.7462456660343392,Illinois Waterway,Illinois Waterway,ML
LSTM,2.6223926660994104,1.5067481469716202,Mississippi River,Mississippi River,ML
LSTM,2.4138260363393,1.2806684944726756,Combined,Combined,ML
