SDSID,SDSFEATURENAME,SDSFEATUREDESCRIPTION,SDSMETADATAID,DISTANCEMARKCATEGORY,DISTANCEMARKERIDPK,CATDIS,WTWDIS,UNLOCD,HUNITS,SORDAT,DIS_REF,WATERWAY,RULEID,LOL,Pool,VertDatum
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1173_rm,1,117.299999999999997,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.185161290322583,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1175_rm,1,117.500000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.186451612903227,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1176_rm,1,117.600000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.187096774193549,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1177_rm,1,117.700000000000003,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.187741935483871,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1179_rm,1,117.900000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.189032258064515,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1181_rm,1,118.100000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.190322580645159,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1183_rm,1,118.299999999999997,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.191612903225803,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1184_rm,1,118.400000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.192258064516125,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1185_rm,1,118.500000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.192903225806447,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1187_rm,1,118.700000000000003,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.194193548387091,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1188_rm,1,118.799999999999997,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.194838709677413,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1191_rm,1,119.100000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.196774193548379,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1192_rm,1,119.200000000000003,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.197419354838701,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1194_rm,1,119.400000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.198709677419345,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1195_rm,1,119.500000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.199354838709667,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1196_rm,1,119.600000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.199999999999989,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1198_rm,1,119.799999999999997,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.203488372092977,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1201_rm,1,120.100000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.208720930232573,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1202_rm,1,120.200000000000003,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.210465116279067,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1203_rm,1,120.299999999999997,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.212209302325562,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1205_rm,1,120.500000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.215697674418607,LA,NGVD1929
