Pool,River,N_Samples,N_Gages,RMSE,MAE,R2,Accuracy,Precision,Recall,F1
PE,Illinois Waterway,1065,17,1.541,0.898,0,48.4,0.108,0.226,0.146
DR,Illinois Waterway,96,4,1.575,0.755,0.335,93.3,0.933,1,0.966
MA,Illinois Waterway,236,7,2.138,1.226,0.045,44.4,0.269,0.875,0.412
LA,Illinois Waterway,2354,19,2.292,1.149,0,58.9,0.333,0.366,0.349
SR,Illinois Waterway,479,11,2.303,1.363,0.046,43.5,0.41,0.5,0.451
15,Mississippi River,90,10,1.325,1.141,0.728,28.6,0.1,0.5,0.167
18,Mississippi River,1546,15,2.074,1.356,0.116,57.1,0.667,0.283,0.398
17,Mississippi River,479,14,2.24,1.456,0,47.2,0.182,0.167,0.174
16,Mississippi River,1211,14,2.324,1.359,0.056,66.7,0.621,0.818,0.706
19,Mississippi River,651,15,2.443,1.477,0.003,57.9,0.463,0.514,0.487
20,Mississippi River,628,13,2.951,1.601,0.071,50,0.327,0.72,0.45
13,Mississippi River,1338,5,3.203,1.957,0.002,65.7,0.684,0.433,0.531
22,Mississippi River,1369,12,3.297,2.216,0.003,63.5,0.193,0.324,0.242
14,Mississippi River,613,8,3.313,1.784,0.018,62,0.5,0.857,0.632
21,Mississippi River,1250,12,5.18,2.92,0.026,78,NA,0,NA
12,Mississippi River,446,3,9.181,5.299,0.237,50.7,0.059,0.056,0.057
