SDSID,SDSFEATURENAME,SDSFEATUREDESCRIPTION,SDSMETADATAID,DISTANCEMARKCATEGORY,DISTANCEMARKERIDPK,CATDIS,WTWDIS,UNLOCD,HUNITS,SORDAT,DIS_REF,WATERWAY,RULEID,Pool,PoolElev,VertDatum
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_6150_rm,1,615.000000000000000,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,2,11,603.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_5950_rm,1,595.000000000000000,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,2,11,603.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_5910_rm,1,591.000000000000000,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,2,11,603.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_5860_rm,1,586.000000000000000,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,2,11,603.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_5820_rm,1,582.000000000000000,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,2,12,592.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_5740_rm,1,574.000000000000000,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,2,12,592.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_5730_rm,1,573.000000000000000,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,2,12,592.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_5650_rm,1,565.000000000000000,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,2,12,592.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_5620_rm,1,562.000000000000000,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,2,12,592.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_5590_rm,1,559.000000000000000,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,2,12,592.000000000000000,MSL1912
